🔒 Row ID,nomeCasa,imgCasa,thumbCasa,diasFunciona,bairroCasa,enderecoCasa,generosCasa,descricaoCasa
3Ynjp1meS22rMyckLY.OKg,Suzie Wong,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/nT9vvpWLQVdrAKCa5kvJ.jpg,3,Seg. Qua. Sex. Sab.,Barra Funda,"Rua Brigadeiro Galvão, 599 - Barra Funda, São Paulo - SP, 01151-000",Samba,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
a-OM.oj8KQM-kJw3vMQQ7ig,Todos os Santos,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/CwCTMsIlhhNDi3fQ78sx.jpg,3,Ter. Qua. Sex. Dom.,Vila Madalena,"Rua Harmonia, 456",Forró,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
NRbsScLIRdOkbBTwzJPS3Q,Dois-Dois,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/VmSeTc0CQkP60wT65o5o.jpg,2,Qua. Qui. Sex. Sab.,Campos Eliseos,"Alameda Dino Bueno, 711 - Campos Elíseos, São Paulo - SP, 01217-000",Samba,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
nTsl1upvQxWWviCeRf.D4A,Cruz da Esperança,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/z0J6PAxj2rBJKYNxzqcF.png,5,Seg. Ter. Sex. Sab.,CAsa Verde,"R. Marambaia, 802 - Casa Verde, São Paulo - SP, 02510-030",Forró,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
ilEyv6FlTiWWfbMYGBHO9Q,Casa de Francisca,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/0431PFTmtWKPfq2SmJ3W.jpg,,Qua. Qui. Sex. Dom.,Sé,"R. Quintino Bocaiúva, 22 - Sé, São Paulo - SP, 01004-010",Samba,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
hkk52I.SQLWEMvST5tOMOQ,Baixo Largo,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/wVwbXyA3fInrTuogEXNa.jpg,3,Ter. Qua. Sex. Sab.,Pinheiros,"R. Padre Carvalho, 644 - Pinheiros, São Paulo - SP, 05427-020",Charm,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
xnbQPzWERbq0lRLMJg5ZCA,Mada Gema,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/kClbNAJgVYCmfmqxpZdM.png,3,Seg. Qui. Sex. Dom.,Vila Madalena,"R. Mourato Coelho, 1230 - Vila Madalena, São Paulo - SP, 05417-002",Samba,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
6mOruBbFT.S08Plk4VweQg,Boteco Dona Tati,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TsUzTga2LIHmJQN7UDwW/pub/T5iHlGF1et46V3bZfFOs.jpg,4,Seg. Ter. Sex. Sab.,Barra Funda,"R. Conselheiro Brotero, 506 - Barra Funda, São Paulo - SP, 01154-001",Forró,"Esta é a descrição do local que fala detalhes sobre o espaço como lotação máxima, estilo da casa e demais informações que forem pertinentes ao cliente ou um texto convite para ir ao local."
